MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
Mouna Guru,Action,7.7,Santha Kumar,Arulnithi,746,2011,8,8,7.9
7 Aum Arivu,Action,6.2,A.R. Murugadoss,Suriya,9479,2011,9,9,8.066666667
Vaagai Sooda Vaa,Comedy,8,A. Sarkunam,Vimal,14522,2011,8,7,7.666666667
Mankatha,Action,7.6,Venkat Prabhu,Ajith Kumar,12276,2011,6,8,7.2
Kanchana: Muni 2,Comedy,6.5,Lawrence Raghavendra,Lawrence Raghavendra,1044,2011,8,9,7.833333333
Deiva Thirumagal,Drama,8.1,A.L. Vijay,Vikram,44517,2011,9,9,8.7
Vaanam,Action,7.2,Radha Krishna Jagarlamudi,T.R. Silambarasan,1307,2011,7,8,7.4
Ko,Action,7.8,K.V. Anand,Jiiva,4759,2011,9,7,7.933333333
Payanam,Action,7.3,Radha Mohan,Nagarjuna Akkineni,677,2011,6,8,7.1
Yutham Sei,Crime,8,Myshkin,Cheran,1678,2011,4,9,7
Aadukalam,Action,8.1,Vetrimaaran,Dhanush,4456,2011,8,9,8.366666667
Naduvula Konjam Pakkatha Kaanom,Comedy,8.2,Balaji Tharaneetharan,Vijay Sethupathi,4530,2012,7,8,7.733333333
Thuppakki,Action,7.9,A.R. Murugadoss,Joseph Vijay,22577,2012,9,9,8.633333333
Pizza,Horror,8,Karthik Subbaraj,Vijay Sethupathi,6528,2012,2,8,6
Naan,Crime,7.5,Jeeva Shankar,Vijay Antony,1365,2012,3,7,5.833333333
The Fly,Action,7.7,S.S. Rajamouli,J.V.V. Sathyanarayana,20590,2012,5,7,6.566666667
Kalakalappu,Comedy,6.9,Sundar C.,Vimal,1019,2012,7,8,7.3
Vazhakku Enn 18/9,Crime,8.3,Balaji Sakthivel,Sri,1915,2012,5,9,7.433333333
Kumki,Drama,7,Prabu Solomon,Vikram Prabhu,1231,2012,8,9,8
Neethaane En Ponvasantham,Romance,6.5,Gautham Vasudev Menon,Jiiva,1500,2012,9,8,7.833333333
